No.,Leading Number (16 digits),Additional Number of Digits,Routing Plan Number
1,Dial=101,0,1
2,Dial=105,0,1
3,Dial=111,0,1
4,Dial=112,0,1
5,Dial=123,0,4
6,Dial=10000,0,4
7,Dial=10005,0,4
8,Dial=10020,0,4
9,Dial=116,0,1
10,Dial=14,0,1
11,Dial=15,0,1
12,Dial=17070,0,1
13,Dial=55000,0,4
14,Dial=999,0,1
15,Dial=1,0,1
16,Dial=2,0,6
17,Dial=3,0,6
18,Dial=4,0,6
19,Dial=5,0,6
20,Dial=6,0,6
21,Dial=7,0,6
22,Dial=8,0,6
23,Dial=9,0,1
24,Dial=01,0,5
25,Dial=02,0,5
26,Dial=03,0,5
27,Dial=04,0,1
28,Dial=05,0,5
29,Dial=06,0,1
30,Dial=07,0,5
31,Dial=08,0,5
32,Dial=09,0,1
33,Dial=00,0,4
